"tier","pathway","n_patients","rho_os","p_os","median_untreated","median_treated","p_treatment","constant_effect","q_os","q_treatment"
"libsize","HALLMARK_SPERMATOGENESIS",13,-0.0769230769230769,0.802763007669255,0.780166666666667,0.597,0.354312354312354,FALSE,0.933156841555297,0.79348261166443
"none","HALLMARK_SPERMATOGENESIS",13,-0.0494505494505495,0.872544428881149,0.905666666666667,0.6863125,0.170940170940171,FALSE,0.97691446437774,0.777000777000777
"pcs","HALLMARK_SPERMATOGENESIS",13,0.214285714285714,0.482054454702368,0.677333333333333,0.638125,0.621600621600622,FALSE,0.725914440230714,0.86333419666753
"libsize","HALLMARK_TGF_BETA_SIGNALING",13,0.203296703296703,0.505314734296248,0.8635,0.845375,0.523698523698524,FALSE,0.808017049195047,0.79348261166443
"none","HALLMARK_TGF_BETA_SIGNALING",13,0.0164835164835165,0.957376175090185,0.4865,0.383,0.724164724164724,FALSE,0.97691446437774,0.968540503424224
"pcs","HALLMARK_TGF_BETA_SIGNALING",13,-0.252747252747253,0.404774071270947,0.599375,0.7068125,1,FALSE,0.710292532657515,1
"libsize","HALLMARK_TNFA_SIGNALING_VIA_NFKB",13,0.508941334289675,0.0756948009912954,0.9935,0.98475,0.271594161006025,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_TNFA_SIGNALING_VIA_NFKB",13,-0.148351648351648,0.628609417889416,0.47975,0.4360625,0.724164724164724,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_TNFA_SIGNALING_VIA_NFKB",13,-0.33202910730909,0.267713429599299,0.9995,0.99945,0.277974874223793,FALSE,0.710292532657515,0.779634391528662
"libsize","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",13,-0.181318681318681,0.553295009283933,0.700666666666667,0.6791625,0.943278943278943,FALSE,0.837621879349858,0.943278943278943
"none","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",13,-0.258241758241758,0.394284017397362,0.775833333333333,0.607591666666667,0.170940170940171,FALSE,0.95147537639111,0.777000777000777
